names,overview,TV_Movie,Adventure,Comedy,Fantasy,Romance,Family,History,Documentary,War,Crime,Drama,Horror,Thriller,Animation,Action,Science_Fiction,Mystery,Western,Music
The Land Before Time IX: Journey to Big Water,"When heavy rains create a mysterious ""new water"", Littlefoot sets off to explore the Great Valley and quickly becomes friends with Mo, a fun-loving dolphin-like creature, who has been isolated from his pod by the weather. When Littlefoot and friends get separated from their parents because of an Earthshake, they help Mo get back home to the Big Water, while avoiding a hungry ""Sharptooth Swimmer"".",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Hunger,A talented young street-food cook pushes herself to the limit after accepting an invitation to train under an infamous and ruthless chef.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Utøya: July 22,"The movie tells the story about a girl who has to hide and survive from a right wing terrorist while looking for her little sister during the terrorist attacks in Norway on the island Utøya, July 22nd.",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Long Shot,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter — much to the dismay of her trusted advisers.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Run,"The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky (Mel Gibson) attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom.",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Pocahontas,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Babysitter: Killer Queen,"Two years after defeating a satanic cult led by his babysitter Bee, Cole's trying to forget his past and focus on surviving high school. But when old enemies unexpectedly return, Cole will once again have to outsmart the forces of evil.",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blue Rain Osaka,From director Masaru Konuma comes this tale of sorrow and nostalgia mixed with pop songs and feminine strength.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Barbie as the Island Princess,"Barbie plays Rosella in this new musical film. Shipwrecked as a child, Rosella grows up on the island under the watchful eyes of her loving animal friends. The arrival of Prince Antonio leads Rosella and her furry pals to explore civilization and ultimately save the kingdom by uncovering a secret plot.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Parasyte: Part 1,"Alien pods come to Earth and, naturally, start taking over Human Hosts. One such pod only manages to take over one human's, Shin Izumi, right arm. Together they grow and co-exist, all the while the other aliens are making meals of other humans; Shin feels he must put a stop to it all, but his alien, Migi, doesn't see why.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Grappler Baki: The Ultimate Fighter,"His name is Baki Hanma. No one knows where he came from or where he learned his unique fighting style.  When it comes to Karate, Baki Hanma is just plain GOOD. He can defeat an opponent with a single blow and he's taking the Karate Championship by storm. In a prestigious match, he defeats competitor after competitor even though he's totally unknown and barely even ranked.  But now he's in for the fight of his life and he may have just met his match. Anything goes and his opponent can rip his nerves out -- literally. If he wins, he's the BEST. If he loses... he's DEAD.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
In His Shadow,"After the death of their father, two half-brothers find themselves on opposite sides of an escalating conflict with tragic consequences.",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Kicking & Screaming,"Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son, Sam, is following in his footsteps. But when Phil's hyper-competitive dad benches Sam, Phil decides to transfer his son to a new team which needs a coach. Phil steps in to be the temporary coach and immediately begins to butt heads with this dad over this new competition in their lives.",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Working Girl,"Tess McGill is an ambitious secretary with a unique approach for climbing the ladder to success. When her classy, but villainous boss breaks a leg skiing, Tess takes over her office, her apartment and even her wardrobe. She creates a deal with a handsome investment banker that will either take her to the top, or finish her off for good.",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
King of Thieves,"London, England, April 2015. Brian Reader, a retired thief, gathers an unlikely gang of burglars to perpetrate the biggest and boldest heist in British history. The thieves assault the Hatton Garden Safe Deposit Company and escape with millions in goods and money. But soon the cracks between the gang members begin to appear when they discuss how to share the loot.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Beautiful Creatures,"Ethan Wate just wants to get to know Lena Duchannes better, but unbeknownst to him, Lena has strange powers.  As Lena's 16th birthday approaches she might decide her fate, to be good or evil.  A choice which will impact her relationship forever.",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Godzilla, King of the Monsters!","During an assignment, foreign correspondent Steve Martin spends a layover in Tokyo and is caught amid the rampage of an unstoppable prehistoric monster the Japanese call 'Godzilla'. The only hope for both Japan and the world lies on a secret weapon, which may prove more destructive than the monster itself.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Tangalanga Method,Shy corporate employee Jorge Rizzi's life takes an uproarious turn when he participates in a hypnosis session that rips off his inhibitions and releases a hilarious alter ego.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martyr or Murderer,"A sequel to Maid in Malacañang. The film explores the assassination of Ninoy Aquino on August 21, 1983, three years before the events of Maid in Malacañang, and how the Marcoses were accused of as those responsible for killing him.",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Hot Hair Salon,"Yoon Bong receives a breakup notice from his wife because of premature ejaculation. Yoon Bong's junior Hae-seong said that it was his special experience. Introduce them. A beauty salon that provides services with bikinis. Yun Bong finds his senses little by little there. With the efforts of Hyun-joo and Min-hee, Yun Bong cures premature ejaculation. So-yoon, his wife, is also happy to see Yoon Bong, who has returned as before.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Escape from Sobibor,"The true story of WWII's notorious Sobibor Nazi death camp, where a courageous inmate orchestrates and leads the escape of over 300 prisoners.",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
The Young Girls of Rochefort,A group of carnival workers arriving in the French town of Rochefort cross paths with two fraternal twins looking for love and a future in Paris.,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bingo,"Bingo, the runaway circus dog, is off the leash and saving Chuckie's life! Bingo and the boy become the best of friends in this canine comedy featuring doggy disguises and skateboarding, pinball and prison. Chuckie and his parents (Cindy Williams and David Rasche) are moving house, a thousand miles away, but Bingo won't be allowed to join them. Chuckie and Bingo's determination to be reunited is t",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
This Is the End,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"I Love You, Man","Peter Klaven is a successful real estate agent who, upon getting engaged to the woman of his dreams, Zooey, discovers, to his dismay and chagrin, that he has no male friend close enough to serve as his Best Man. Peter immediately sets out to rectify the situation, embarking on a series of bizarre and awkward ""man-dates.""",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Final Destination 3,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Brawl in Cell Block 99,"After working as a drug courier and getting into a brutal shootout with police, a former boxer finds himself at the mercy of his enemies as they force him to instigate violent acts that turn the prison he resides in into a battleground.",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Bumblebee,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Come and See,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Underwater,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Charlie St. Cloud,"Accomplished sailor Charlie St. Cloud has the adoration of his mother Claire and his little brother Sam, as well as a college scholarship that will lead him far from his sleepy Pacific Northwest hometown. But his bright future is cut short when a tragedy strikes and takes his dreams with it. After his high-school classmate Tess returns home unexpectedly, Charlie grows torn between honoring a promise he made four years earlier and moving forward with newfound love. And as he finds the courage to let go of the past for good, Charlie discovers the soul most worth saving is his own.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Newly Wedded Couple's Sex Life,"Jung-sik and Ji-young got married after a hot relationship, but it has cooled down. One day, Yoon-soo and Sun-young move in next door. They have been married for 5 years, but still look like they're madly in love. Ji-young talks to them about her problems and they decide to help her sex life.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takers,"A seasoned team of bank robbers, including Gordon Jennings, John Rahway, A.J., and brothers Jake and Jesse Attica successfully complete their latest heist and lead a life of luxury while planning their next job. When Ghost, a former member of their team, is released from prison he convinces the group to strike an armored car carrying $20 million. As the ""Takers"" carefully plot out their strategy and draw nearer to exacting the grand heist, a reckless police officer inches closer to apprehending the criminals.",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Argo,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Hook,"The boy who wasn't supposed grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland.",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry Mason: The Case of the Glass Coffin,"David Katz is a world famous magician and he comes to Denver with his group to perform for a charity gala for disabled children. Also there is Perry and Della as all three are supporters of the charity. Kate Ford, an assistant with an arrogant attitude, tells David that she is, from now on, going to do an illusion in which an assistant is raised in a glass coffin only to disappear when the coffin is opened up in the air (while the assistant climbs out before the coffin is raised.) After a one night stand with David, Kate is pregnant and she blackmails David with this. David and his wife Judy can't have children so that comes as a double blow to them. However Kate, with her attitude, creates much hatred at her from the rest of the group. At the gala, the glass coffin is raised but when it opens Kate's dead body falls to the ground - strangled.",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Afro Samurai: Resurrection,Afro Samurai avenged his father and found a life of peace. But the legendary master is forced back into the game by a beautiful and deadly woman from his past. The sparks of violence dropped along Afro’s bloody path now burn out of control – and nowhere are the flames of hatred more intense than in the eyes of Sio.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Quest for Camelot,"During the times of King Arthur, Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthur, and Kayley has to stop him.",0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Barbie in the Nutcracker,"""Barbie"" stars as Clara in this animated retelling of the classic Christmas ballet, complete with Tchaikovsky soundtrack and ballet choreography.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Transylvania 6-5000,"Two reporters travel to a strange castle in Transylvania to investigate the apparent reappearance of Frankenstein, and encounter the sensitive Wolfman, the Vampiress Odette and a whole cast of other weirdos.",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aquaman,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Slither,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
On the Basis of Sex,Young lawyer Ruth Bader Ginsburg teams with her husband Marty to bring a groundbreaking case before the U.S. Court of Appeals and overturn a century of sex discrimination.,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Rock on Fire,"Some dope cops trying to bust the ""Big Boss"", but faces stiff opposition in the form of his fiery minions.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Congo,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Caligula,"The perversion behind imperial Rome, the epic story of Rome's mad Emporer. All the details of his cruel, bizarre reign are revealed right here: His unholy sexual passion for his sister, his marriage to Rome's most infamous prostitute, his fiendishly inventive means of disposing those who would oppose him, and more.",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Rogue City,"Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Where the Wild Things Are,"Max imagines running away from his mom and sailing to a far-off land where large talking beasts—Ira, Carol, Douglas, the Bull, Judith and Alexander—crown him as their king, play rumpus, build forts and discover secret hideaways.",0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The Gods Must Be Crazy II,"Xixo is back again. This time, his children accidentally stow away on a fast-moving poachers' truck, unable to get off, and Xixo sets out to rescue them. Along the way, he encounters a couple of soldiers trying to capture each other and a pilot and passenger of a small plane, who are each having a few problems of their own.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Resort to Love,Aspiring pop star Erica ends up as the entertainment at her ex-fiancé’s wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nightwatch,A law student takes a job as a night watchman at a morgue and begins to discover clues that implicate him as the suspect in a series of murders.,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Behaving Badly,"Teenager Rick Stevens is willing to do whatever it takes to win the heart of Nina Pennington. He'll have to deal with his best friend's horny mom, a drug abusing boss and even the mob if he ever hopes to land the girl of his dreams. Love is never easy!",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somebody I Used to Know,"On a trip to her hometown, workaholic Ally reminisces with her first love Sean, and starts to question everything about the person she's become. Things only get more confusing when she meets Sean's fiancé, Cassidy, who reminds her of the person she used to be.",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Last Flight of Noah's Ark,The only chance to escape a desert island is to convert the plane carrying many different animals into a boat.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Possession of Michael King,"The film tells the story of documentary filmmaker Michael King (Shane Johnson), who doesn’t believe in God or the Devil. Following the sudden death of his wife, Michael decides to make his next film about the search for the existence of the supernatural, making himself the center of the experiment – allowing demonologists, necromancers, and various practitioners of the occult to try the deepest and darkest spells and rituals they can find on him – in the hopes that when they fail, he’ll once and for all have proof that religion, spiritualism, and the paranormal are nothing more than myth. But something does happen. An evil and horrifying force has taken over Michael King. And it will not let him go.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Secretary Rope Discipline,"Secretary Sayo does some corporate snooping for her boyfriend, an upstart executive with a rival company. But she gets busted by the CEO. Poor Sayo is captured and taken to a private torture chamber in the corporate mansion. While the secretary gets punished, the bossman's son becomes infatuated with her beautiful white skin and he assumes the disciplinary responsibilities. Between the floggings, stretchings, and wooden-horse tortures he finds time to cover her body in an elaborate tattoo.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amores Perros,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Taxi,"In Marseilles (France), skilled pizza delivery boy Daniel who drives a scooter finally has his dreams come true. He gets a taxi license. Caught by the police for a huge speed infraction, he will help Emilien, a loser inspector who can't drive, on the track of German bank robbers, so he doesn't lose his license and his dream job.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Keanu,Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Alvin and the Chipmunks Meet the Wolfman,"As Alvin struggles with nightmares involving werewolves, the school play of Jekyll & Hyde is in jeopardy when the lead, Alvin, is suspended. In an attempt to boost his confidence, the drama teacher suggests Theodore, who's suddenly going through some canine changes.",0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Zombie Ass: Toilet of the Dead,"Wracked with guilt over her younger sister's suicide, pretty young karate student Megumi accompanies a group of older friends on a camping trip into the woods, where they're attacked by feces covered undead.",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Money Pit,"After being evicted from their Manhattan apartment, a couple buy what looks like the home of their dreams—only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything—including the kitchen sink—disappears into the Money Pit.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Job,"A group of former mercenaries reunite to plan an epic heist: boosting a truck full of medicine held by a foreign intelligence agency to supply a refugee camp in need. But when they find the truck is actually filled with stolen gold, the band of brothers realize they’ve been double-crossed by one of their own - and putting the situation right will be all out war.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Bridge Curse,"Four years after five students mysteriously committed suicide after taking part in a courage test on the ghost bridge in Donghu university, a reporter and a cinematographer are back to that place and try to get everything clear.",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Legends of the Fall,"An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love.",0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Come Play With Me,"Sofia, an insecure young woman, begins babysitting two troublesome siblings that turn her job into a complete living hell. That is until a devilish presence starts messing with the trio and they must band together to fight the demon away.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Arrival,"Zane Ziminski is an astrophysicist who receives a message that seems to have extraterrestrial origins. Eerily soon after his discovery, Zane is fired. He then embarks on a search to determine the origins of the transmission that leads him into a Hitchcockian labyrinth of paranoia and intrigue.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pokémon: Zoroark - Master of Illusions,Ash and his friends must stop a greedy media mogul from using the shape-shifting Zoroark to capture the time-travelling Celebi.,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Nightride,"In this single shot thriller, we're in the driver's seat with small-time dealer Budge as he tries to pull one last deal with cash borrowed from a dangerous loan shark. When the handover goes catastrophically wrong, Budge finds himself in a race against time to find his missing product and get a new buyer before the loan shark tracks him down.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Untraceable,"Special Agent Jennifer Marsh works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Zookeeper's Wife,"The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Before I Fall,"Samantha Kingston has everything. Then, everything changes. After one fateful night, she wakes up with no future at all. Trapped into reliving the same day over and over, she begins to question just how perfect her life really was.",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
The Lair of the White Worm,"When an archaeologist uncovers a strange skull in a foreign land, the residents of a nearby town begin to disappear, leading to further inexplicable occurrences.",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Year One,"When a couple of lazy hunter-gatherers are banished from their primitive village, they set off on an epic journey through the ancient world.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leprechaun Returns,A group of unwitting sorority sisters accidentally awaken the serial-killing Leprechaun after they build a sorority house on his hunting grounds.,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lone Wolf McQuade,"The archetypical renegade Texas Ranger wages war against a drug kingpin with automatic weapons, his wits and martial arts after a gun battle leaves his partner dead. All of this inevitably culminates in a martial arts showdown between the drug lord and the ranger, and involving the woman they both love.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Vault,"When an engineer learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lake Placid: The Final Chapter,"Black Lake is now a crocodile sanctuary, surrounded by an electric fence. When the fence is left open, a high-school bus unknowingly enters the park. It's up to Reba and the Sheriff to save the kids from becoming crocodile food.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
What Lies Beneath,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
The Bad Seed,A widower suspects that his seemingly perfect adolescent daughter is a heartless killer.,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
The Sixth Sense,"Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Arabian Nights,"The final part of Pasolini's Trilogy of Life series is rich with exotic tales of slaves and kings, potions, betrayals, demons and, most of all, love and lovemaking in all its myriad forms. Mysterious and liberating, this is an exquisitely dreamlike and adult interpretation of the original folk tales.",0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Five-Year Engagement,"Exactly one year after Tom meets Violet, he surprises her with a wedding ring. By all accounts, Tom and Violet are destined for their happily ever after. However, this engaged couple just keep getting tripped up on the long walk down the aisle.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In Fabric,"A haunting ghost story set against the backdrop of a busy winter sales period in a department store, following the life of a cursed dress as it passes from person to person, with devastating consequences.",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
The Worst Person in the World,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sinner: The Secret Diary of a Nymphomaniac,"Linda comes to the big city in search of fun and excitement.  What she finds is exploitation and abuse at the hands of a succession of sleazy guys.  Searching for love, she enters into a lesbian relationship with a beautiful countess, discovers drugs and swingers' parties and starts acting in porno movies.  She also begins to write a secret diary... With a cast of some of the most stunning Euro actresses of the period, wall-to-wall sex and nudity, pot parties, porno shoots and a psychedelic soundtrack, this is a gem of 1970s exploitation cinema from Jess Franco.  Street scenes shot in Benidorm (Alicante, Spain) and Las Palmas (Gran Canaria, Spain).",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Crazy, Stupid, Love.","Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stealing Beauty,"Lucy Harmon, an American teenager is arriving in the lush Tuscan countryside to be sculpted by a family friend who lives in a beautiful villa. Lucy visited there four years earlier and exchanged a kiss with an Italian boy with whom she hopes to become reacquainted.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Midway,"The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.",0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
The Purge,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Zero Fucks Given,"Cassandre, 26, is a flight attendant for a low-cost airline. Based in Lanzarote, she’s always willing to take on extra hours and carries out her duties with robotic efficiency. On the side, she just goes with the flow and floats between Tinder, parties and lazy days. When she suddenly gets dismissed, she is forced to return home.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Little Witch,The little witch is only 127 years old – too young for the annual coven of witches. Although she is not yet old enough to be a real witch she wants to become a really good one. This decision causes trouble inside her magic world.,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Terrifier,"On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Paycheck,"Michael Jennings is a genius who's hired – and paid handsomely – by high-tech firms to work on highly sensitive projects, after which his short-term memory is erased so he's incapable of breaching security. But at the end of a three-year job, he's told he isn't getting a paycheck and instead receives a mysterious envelope. In it are clues he must piece together to find out why he wasn't paid – and why he's now in hot water.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
